hostname,ip,resolved_ip,port,port_open,tls,starttls,starttls_available,tls_version,cipher,cert_subject,cert_issuer,cert_serial,cert_not_before,cert_not_after,cert_days_remaining,cert_sans,cert_sig_algo,cert_fingerprint_sha256,cert_self_signed,status,error
example.com,,104.20.23.154,443,True,True,False,False,TLSv1.3,"TLS_AES_256_GCM_SHA384 (256-bit, TLSv1.3)",CN=example.com,"CN=Cloudflare TLS Issuing ECC CA 3, O=SSL Corporation",1aa73fea257be3334b9a29552e6f878e,2026-05-31 21:39:12 UTC,2026-08-29 21:41:26 UTC,53,"example.com, *.example.com",ecdsa-with-SHA256,BE:AB:14:CF:39:67:8F:DA:0E:F1:60:6E:ED:B8:18:C2:29:8B:A2:CC:7A:00:88:6E:7D:C2:D2:41:0F:24:CD:35,False,TLS + cert,
google.com,,142.251.45.14,80,True,False,False,False,,,,,,,,,,,,,port open (no TLS),TLS error: [SSL] record layer failure (_ssl.c:1000)
smtp.gmail.com,,142.251.2.108,587,True,True,True,True,TLSv1.3,"TLS_AES_256_GCM_SHA384 (256-bit, TLSv1.3)",CN=smtp.gmail.com,"CN=WR2, O=Google Trust Services",a19f1735cbb1793f0ab1d0fa5f5d050f,2026-06-15 08:40:51 UTC,2026-09-07 08:40:50 UTC,61,smtp.gmail.com,sha256WithRSAEncryption,01:A5:66:B0:97:A6:D8:88:91:EF:EA:88:44:C5:43:7D:73:0A:88:41:F0:BE:E1:5F:7F:54:27:18:F2:1D:F3:A7,False,TLS + cert,
badssl.com,,104.154.89.105,443,True,True,False,False,TLSv1.2,"ECDHE-RSA-AES128-GCM-SHA256 (128-bit, TLSv1.2)",CN=*.badssl.com,"CN=R13, O=Let's Encrypt",533dc28b318a1e111898df9309afbed3633,2026-05-26 20:02:50 UTC,2026-08-24 20:02:49 UTC,48,"*.badssl.com, badssl.com",sha256WithRSAEncryption,88:3A:65:28:CE:E7:B9:91:86:BF:05:68:A3:13:0F:47:D7:35:05:5D:12:04:09:10:79:F4:E2:80:8B:CC:41:81,False,TLS + cert,
imap.gmail.com,,142.250.101.109,143,False,False,False,False,,,,,,,,,,,,,port closed,
self-signed.badssl.com,,104.154.89.105,443,False,False,False,False,,,,,,,,,,,,,port closed,
expired.badssl.com,,104.154.89.105,443,True,False,False,False,,,,,,,,,,,,,port open (error),TimeoutError: timed out
